
Toplam kullanılan renk sayısı: 45
Köşe ve renk eşleşmeleri:
köşe = 0, renk = 0
köşe = 1, renk = 1
köşe = 5, renk = 1
köşe = 6, renk = 1
köşe = 7, renk = 2
köşe = 9, renk = 1
köşe = 12, renk = 2
köşe = 21, renk = 2
köşe = 22, renk = 1
köşe = 23, renk = 2
köşe = 28, renk = 3
köşe = 29, renk = 3
köşe = 30, renk = 2
köşe = 41, renk = 4
köşe = 44, renk = 1
köşe = 50, renk = 1
köşe = 51, renk = 5
köşe = 55, renk = 4
köşe = 60, renk = 5
köşe = 61, renk = 3
köşe = 62, renk = 5
köşe = 66, renk = 4
köşe = 69, renk = 2
köşe = 74, renk = 6
köşe = 78, renk = 5
köşe = 83, renk = 3
köşe = 86, renk = 4
köşe = 88, renk = 4
köşe = 93, renk = 3
köşe = 94, renk = 3
köşe = 107, renk = 3
köşe = 108, renk = 6
köşe = 122, renk = 5
köşe = 124, renk = 7
köşe = 126, renk = 7
köşe = 129, renk = 8
köşe = 134, renk = 6
köşe = 146, renk = 8
köşe = 147, renk = 6
köşe = 148, renk = 4
köşe = 154, renk = 7
köşe = 156, renk = 2
köşe = 157, renk = 9
köşe = 162, renk = 9
köşe = 164, renk = 8
köşe = 172, renk = 8
köşe = 174, renk = 7
köşe = 176, renk = 10
köşe = 179, renk = 5
köşe = 181, renk = 10
köşe = 192, renk = 8
köşe = 196, renk = 6
köşe = 197, renk = 6
köşe = 203, renk = 1
köşe = 204, renk = 7
köşe = 205, renk = 3
köşe = 207, renk = 4
köşe = 208, renk = 3
köşe = 209, renk = 10
köşe = 210, renk = 6
köşe = 211, renk = 2
köşe = 216, renk = 6
köşe = 221, renk = 4
köşe = 222, renk = 10
köşe = 226, renk = 10
köşe = 231, renk = 5
köşe = 232, renk = 5
köşe = 235, renk = 2
köşe = 236, renk = 2
köşe = 239, renk = 9
köşe = 243, renk = 1
köşe = 245, renk = 3
köşe = 253, renk = 6
köşe = 260, renk = 11
köşe = 262, renk = 4
köşe = 264, renk = 6
köşe = 265, renk = 10
köşe = 266, renk = 9
köşe = 272, renk = 8
köşe = 276, renk = 11
köşe = 281, renk = 12
köşe = 286, renk = 9
