Toplam kullanılan renk sayısı: 7
Köşe ve renk eşleşmeleri:
köşe = 0, renk = 0
köşe = 6, renk = 1
köşe = 9, renk = 1
köşe = 20, renk = 1
köşe = 34, renk = 1
köşe = 39, renk = 1
köşe = 40, renk = 1
köşe = 41, renk = 2
köşe = 47, renk = 1
köşe = 49, renk = 2
köşe = 62, renk = 2
köşe = 1, renk = 0
köşe = 2, renk = 1
köşe = 4, renk = 1
köşe = 31, renk = 1
köşe = 50, renk = 2
köşe = 52, renk = 2
köşe = 65, renk = 2
köşe = 8, renk = 0
köşe = 10, renk = 0
köşe = 13, renk = 0
köşe = 24, renk = 0
köşe = 29, renk = 0
köşe = 35, renk = 2
köşe = 38, renk = 0
köşe = 45, renk = 0
köşe = 53, renk = 3
köşe = 57, renk = 3
köşe = 61, renk = 0
köşe = 63, renk = 2
köşe = 69, renk = 0
köşe = 3, renk = 0
köşe = 11, renk = 3
köşe = 30, renk = 3
köşe = 32, renk = 1
köşe = 46, renk = 1
köşe = 56, renk = 4
köşe = 59, renk = 3
köşe = 66, renk = 2
köşe = 42, renk = 3
köşe = 54, renk = 3
köşe = 64, renk = 3
köşe = 5, renk = 0
köşe = 43, renk = 3
köşe = 19, renk = 3
köşe = 36, renk = 4
köşe = 51, renk = 5
köşe = 7, renk = 0
köşe = 16, renk = 1
köşe = 17, renk = 1
köşe = 28, renk = 3
köşe = 33, renk = 2
köşe = 18, renk = 1
köşe = 26, renk = 1
köşe = 68, renk = 2
köşe = 27, renk = 3
köşe = 12, renk = 0
köşe = 37, renk = 2
köşe = 14, renk = 0
köşe = 22, renk = 4
köşe = 55, renk = 2
köşe = 15, renk = 0
köşe = 48, renk = 6
köşe = 67, renk = 3
köşe = 21, renk = 0
köşe = 23, renk = 0
köşe = 44, renk = 0
köşe = 25, renk = 0
köşe = 60, renk = 0
köşe = 58, renk = 0
